City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Saint-Francois,FR,46.99,light intensity drizzle,46.4154,3.9054,Manoir Du Bonheur
129,Ponta Do Sol,PT,54.0,few clouds,32.6667,-17.1,Hotel do Campo
130,La Asuncion,VE,76.21,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
132,Bandarbeyla,SO,74.75,clear sky,9.4942,50.8122,JABIR HOTEL
134,Soe,ID,77.86,overcast clouds,-9.8607,124.28399999999999,Dena Hotel
137,Sirajganj,BD,65.75,overcast clouds,24.45,89.7167,Sourav talukder
138,Mount Gambier,AU,62.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
143,Nouadhibou,MR,60.8,clear sky,20.930999999999997,-17.0347,El Medina
144,Richards Bay,ZA,72.34,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
147,Muros,ES,44.01,fog,42.7762,-9.0603,Apartment Av. Castelao
151,Zhob,PK,46.53,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
156,Cooma,AU,68.0,clear sky,-36.2333,149.1333,High Country Motel
157,Los Llanos De Aridane,ES,59.0,clear sky,28.6585,-17.9182,Valle Aridane
158,Sungaipenuh,ID,75.6,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
159,Wad Rawah,SD,59.49,clear sky,15.1603,33.1397,ود الترابي
161,Bilma,NE,59.59,clear sky,18.6853,12.9164,Expeditions Ténére voyages
162,Rosetta,EG,55.4,clear sky,31.4044,30.4164,Green Valley
163,Lebu,CL,58.15,broken clouds,-37.6167,-73.65,Hostal Las Lilas
164,Sakaiminato,JP,51.8,broken clouds,35.55,133.2333,味処・民宿 まつや
165,Colares,PT,52.0,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
172,East London,ZA,72.25,broken clouds,-33.0153,27.9116,Tu Casa
174,Ahipara,NZ,69.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
175,Lethem,GY,79.92,overcast clouds,3.3803,-59.7968,Savannah Inn
176,Ormara,PK,66.07,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
181,Bambous Virieux,MU,75.0,light rain,-20.3428,57.7575,Casa Tia Villa
184,Esperance,AU,60.8,light rain,-33.8667,121.9,Hospitality Esperance
185,Jining,CN,48.0,scattered clouds,35.405,116.5814,Yunhe Star Hotel
186,Cidreira,BR,67.48,clear sky,-30.1811,-50.2056,Hotel Castelo
187,Luang Prabang,LA,62.6,mist,19.8856,102.1347,Villa Oasis
188,Port-De-Bouc,FR,55.4,heavy intensity rain,43.4,4.9833,HOTEL RESIDENCE LES AIGUADES
190,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
191,Port Elizabeth,ZA,63.0,scattered clouds,-33.918,25.5701,39 On Nile Guest House
197,Mount Isa,AU,78.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
198,Bathsheba,BB,77.22,overcast clouds,13.2167,-59.5167,Atlantis Hotel
199,Dunedin,NZ,61.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
200,Russell,US,42.8,overcast clouds,32.3502,-85.1999,Macs
