City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
675,Shablykino,RU,52.8566,35.1964,-0.53,93,38,8.88,scattered clouds
676,Ust-Kan,RU,50.9276,84.761,20.79,90,51,9.62,broken clouds
677,Montrose,US,38.4166,-108.2673,42.01,31,2,5.01,clear sky
678,Dunedin,NZ,-45.8742,170.5036,57.0,92,47,3.0,scattered clouds
679,Soto La Marina,MX,23.7667,-98.2167,73.99,64,0,3.0,clear sky
680,Alexandria,EG,31.2156,29.9553,62.6,72,20,3.44,few clouds
681,Uglekamensk,RU,43.2172,133.2303,-2.97,87,25,4.05,scattered clouds
682,Batagay-Alyta,RU,67.8006,130.4114,-34.44,81,0,1.63,clear sky
683,Gondanglegi,ID,-7.7479,112.0132,75.29,91,100,5.91,overcast clouds
684,Namatanai,PG,-3.6667,152.4333,80.4,80,81,5.3,light rain
685,Sao Desiderio,BR,-12.3633,-44.9733,71.1,84,100,4.92,overcast clouds
686,Luzhou,CN,28.8724,105.4405,59.09,56,100,1.88,overcast clouds
687,Laguna,US,38.421,-121.4238,51.01,100,1,4.52,mist
688,Katangli,RU,51.7102,143.2326,5.11,94,100,20.02,light snow
689,Skegness,GB,53.1436,0.3363,35.6,60,75,19.57,broken clouds
690,Lazo,RU,43.3817,133.9014,-3.46,85,37,6.67,scattered clouds
691,Jiangkou,CN,25.4872,119.1986,62.6,72,75,6.71,broken clouds
692,Opuwo,NA,-18.0607,13.84,87.12,23,98,16.98,overcast clouds
693,Krasnyy Yar,RU,46.5331,48.3456,24.01,58,0,15.66,clear sky
694,Constantine,DZ,36.365,6.6147,50.0,76,40,10.36,scattered clouds
